Category,Question to ask before buying,Why it matters,Model A,Model B,Model C
Suction claim,"What suction mode (max, standard, or quiet) was the published Pa figure measured in?","Published Pa figures are the ceiling, not the daily setting. Hands-on testing we reviewed suggests many robots run well under that ceiling on their default mode, but this isn't a confirmed industry-wide spec, so verify it for your specific model rather than assuming it.",,,
Runtime claim,"Was the advertised runtime measured at the lowest suction setting?",Runtime drops well below the advertised figure once you switch to a stronger mode for carpet or heavy shedding.,,,
Navigation type,"Does it use LiDAR, or camera-only (vSLAM) navigation?",Camera-only navigation struggles more in low light and has a harder time telling objects apart; LiDAR is the current baseline.,,,
Obstacle handling,"Has it been tested specifically around thin-framed furniture (dining chairs, metal-leg stools)?",This is a common blind spot across brands and price points regardless of sensor sophistication.,,,
Mop mechanism,"Is the mop a continuous roller, a spinning disc/pad, or a flat static pad, and how is it rewetted/scraped between passes?",Reported real-world mopping results vary more by maintenance engineering than by mop-type category alone.,,,
Auto-empty,"Does it auto-empty the dust bin, and how many days between manual bag/filter changes?","Determines real hands-off maintenance frequency, especially for heavy-shedding households.",,,
Auto mop-wash,"Does the dock wash and dry mop pads with hot water, or just rinse with cold water?",Hot-water washing and hot-air drying cut down on the odor buildup that plain rinsing doesn't fully solve.,,,
Battery lifespan,"Any published guidance on when battery capacity starts degrading?","Batteries in this category will measurably degrade over time; factor this into a per-year cost comparison.",,,
Replacement parts,"Are brushes, filters, mop pads, and dust bags sold separately, and at what recurring cost?",Ongoing consumables are a real cost of ownership that doesn't show up in the sticker price.,,,
Brand stability,"Who currently owns and services this brand? Any recent bankruptcy, restructuring, or ownership change?","A financially unstable brand is a risk to years of app support, firmware updates, and spare-parts availability.",,,
Review source,"Does the review or best-of list disclose an affiliate/commission relationship with the products it ranks?","Not disqualifying by itself, but worth weighing against independent, non-commissioned test data when claims conflict.",,,
Fit for your floors,"Is this a vacuum-only, hybrid with mop lift, or hybrid with full mop detach?",Determines whether carpet-specific mop-clearance issues apply to your home at all.,,,
